keep,card_a,card_b,shared_tag,oracle_id_a,oracle_id_b
,"Kethis, the Hidden Hand",Serah Farron // Crystallized Serah,cost-reducer-legendary (n=3),1bf08ba0-4235-4dea-9722-ed991a3b6044,a8a7a3b7-015c-4fbd-8b90-e0ddf71663e4
,Unblinking Observer,Shipwreck Sifters,synergy-disturb (n=3),871c4b27-990a-4947-b962-8a6d0bfd85ad,d70ee6f1-541b-43b4-897c-68a231beb894
,Apocalypse Chime,City in a Bottle,expansion-sweeper (n=3),995e2412-3f69-4aaf-a5d6-ae0ecbb95061,a83f25e3-4d84-4c9b-ab12-19b8d326e459
,Dream Devourer,"Bohn, Beguiling Balladeer",gives-foretell (n=3),0ff7440b-b831-40a9-81c4-99d77bf93b8d,ab31b652-ddf2-480f-a955-e8b5c87728f9
,Odylic Wraith,Hidden Horror,creature-type-undead (n=3),613fa223-856e-49c4-8952-224895e00b5e,db7c5a2f-9aea-4b14-86cf-7af79d6484af
,Odylic Wraith,Urborg Stalker,creature-type-undead (n=3),613fa223-856e-49c4-8952-224895e00b5e,e5ef45e4-8c19-40bf-8756-c1b408dcb2fb
,Hidden Horror,Urborg Stalker,creature-type-undead (n=3),db7c5a2f-9aea-4b14-86cf-7af79d6484af,e5ef45e4-8c19-40bf-8756-c1b408dcb2fb
,Floodpits Drowner,Sensational Spider-Man,stun-counters-matter (n=3),43c69d19-c06c-470a-bdba-a0335ff2d655,8c489e39-b9ff-400f-a855-3cddf7e112e6
,Benalish Hero,Kjeldoran Warrior,creature-type-hero (n=3),4c81cfb7-8765-4e28-ae33-4287fa9a86cc,73b70a48-b62c-4fdf-9c2d-c6d6688f9ac8
,Flailing Manticore,Moss Monster,creature-type-monster (n=3),044a169e-32ae-464a-a642-8d3409e82d9f,60efa8a2-6903-4756-92fd-29f6ba6ef67a
,Shoreline Raider,Coastal Drake,hate-typal-kavu (n=3),79dcc432-e8f5-4f2b-bff8-5ae964714666,d4220231-e9ac-4390-8c7b-979549b26d33
,Shoreline Raider,Alpha Kavu,hate-typal-kavu (n=3),79dcc432-e8f5-4f2b-bff8-5ae964714666,f1a76cca-829a-4576-a560-f1af34b80b87
,Coastal Drake,Alpha Kavu,hate-typal-kavu (n=3),d4220231-e9ac-4390-8c7b-979549b26d33,f1a76cca-829a-4576-a560-f1af34b80b87
,"Aragorn, Hornburg Hero",Valeron Wardens,synergy-renown (n=3),07326335-45dd-4ebd-8ae6-5191b6eb2928,d1202573-2105-4d4d-ae7d-7164974b6d89
,Gilt-Leaf Winnower,Master Symmetrist,square-stats-matter (n=3),53b99846-3f80-4e9d-ad3c-52a4906b8823,ffce416c-90c6-43ed-9019-e5a32accad6d
,Champion's Drake,Venerated Teacher,synergy-level-up (n=3),3aca5718-9151-4a5b-b8a3-bfac7abf65ef,be118a2d-a27e-4174-86db-d9a2d304da2f
,Scales of Shale,Polliwallop,affinity-for-creature-type (n=3),655a2b78-6a6c-4b9e-b7c0-48d3768978f5,efd2a4ca-1bd0-4762-a997-f099326b1746
,"Doctor Octopus, Master Planner","Damia, Sage of Stone",draw-to-seven (n=3),2fecfbef-e521-4025-94ea-451c9abde3de,eb7ae3e8-0489-4f3a-8343-7e7ec2fe3f01
,Flowstone Embrace,Second Wind,tappable-enchantment (n=3),18a45b81-1946-4be6-8f2c-8c21d11c86f8,1d8569c1-0b10-40a7-9a87-38571a782dd9
,Flowstone Embrace,Witch's Mist,tappable-enchantment (n=3),18a45b81-1946-4be6-8f2c-8c21d11c86f8,4327225e-140f-45a4-a56f-dcf472f6c062
,Second Wind,Witch's Mist,tappable-enchantment (n=3),1d8569c1-0b10-40a7-9a87-38571a782dd9,4327225e-140f-45a4-a56f-dcf472f6c062
,Martyrs of Korlis,Anaba Bodyguard,creature-type-bodyguard (n=3),7ca54a23-f8eb-4982-b4ee-7392e2f2a1b3,8c64db66-879e-46ad-9d11-8a95b6cf5d19
,Anaba Bodyguard,Veteran Bodyguard,creature-type-bodyguard (n=3),8c64db66-879e-46ad-9d11-8a95b6cf5d19,d29078c0-1fb8-437a-81d1-bb319f646941
,Deeproot Historian,Six,gives-retrace (n=3),4b8d82fe-571d-4fd6-8d0c-77b7e5ef3e23,dbcbdf37-c40f-4068-b4a7-a849cab1056c
,Bile Blight,Echoing Decay,removal-token (n=4),0dd95516-893d-477e-a38c-3cc37c6e7ae0,a1e46cc7-47da-4165-8c6b-f1cd2aa79aa5
,Bile Blight,Echoing Truth,removal-token (n=4),0dd95516-893d-477e-a38c-3cc37c6e7ae0,ef100544-3e6d-4661-a1d1-8b02e58c059c
,Echoing Decay,Echoing Truth,removal-token (n=4),a1e46cc7-47da-4165-8c6b-f1cd2aa79aa5,ef100544-3e6d-4661-a1d1-8b02e58c059c
,Kargan Intimidator,"Gornog, the Red Reaper",hate-typal-coward (n=4),045bf1fd-f375-47a0-9983-7e2ebfed7854,adfd6c2d-a7f8-4f5c-bc31-d65c8150ed49
