source,name_a,name_b,note,canonical_a,canonical_b
substitutes_contrast,Coldsteel Heart,Fellwar Stone,2cmc_rock,"CARD{ENTERS: TAPPED;MANA_ABILITY{COST: TAP;ADD_MANA: ""# SPEC_GAP: unmatched Add clause: Add one mana of the chosen color""}}",CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{ANY_OF OPPONENT.lands.producible_colors}}}
substitutes_contrast,Swords to Plowshares,Condemn,white_removal,"CARD{SPELL{EFFECT:{EXILE{TARGET{TARGET_CLASSES:{PERMANENT};FILTER{TYPE: ""Creature""}};AS $0}}}}",CARD{SPELL{EFFECT:{}}}
substitutes_contrast,Return to Dust,Crush Contraband,artifact_ench_removal,"CARD{SPELL{EFFECT:{EXILE{TARGET{TARGET_CLASSES:{PERMANENT};FILTER{TYPE: ""Artifact""}};AS $0}}}}","CARD{SPELL{EFFECT:{CHOICE{PLAYER: YOU;COUNT: RANGE 1..2;OPTION{EFFECT:{EXILE{TARGET{TARGET_CLASSES:{PERMANENT};FILTER{TYPE: ""Artifact""}};AS $0}}};OPTION{EFFECT:{EXILE{TARGET{TARGET_CLASSES:{PERMANENT};FILTER{TYPE: ""Enchantment""}};AS $0}}}}}}}"
substitutes_contrast,Infernal Grasp,Go for the Throat,black_removal,"CARD{SPELL{EFFECT:{DESTROY{TARGET{TARGET_CLASSES:{PERMANENT};FILTER{TYPE: ""Creature""}};AS $0}}}}",CARD{SPELL{EFFECT:{}}}
substitutes_contrast,Day of Judgment,Wrath of God,4cmc_wipe,"CARD{SPELL{EFFECT:{DESTROY{FILTER{SELECTION: ALL;TYPE: ""Creature""}}}}}",CARD{SPELL{EFFECT:{}}}
substitutes_contrast,Toxic Deluge,Damnation,black_wipe,"CARD{ADDL_COST:;PAY_LIFE: $0;SPELL{EFFECT:{GRANT{FILTER{SELECTION: ALL;TYPE: ""Creature""};POWER: -X;TOUGHNESS: -X;DURATION: END_OF_TURN}}}}",CARD{SPELL{EFFECT:{}}}
substitutes_contrast,Blasphemous Act,Chain Reaction,red_wipe,"CARD{);COST_REDUCTION: ""{1}"" * COUNT(BATTLEFIELD FILTER{TYPE: ""Creature""};SPELL{EFFECT:{DAMAGE{FILTER{SELECTION: ALL;TYPE: ""Creature""};SOURCE: SELF;AMOUNT: 13}}}}",CARD{SPELL{EFFECT:{}}}
substitutes_contrast,Cyclonic Rift,Evacuation,bounce_wipe,"CARD{@OVERLOAD( ""{6}{U}"" );SPELL{EFFECT:{MOVE{TARGET{TARGET_CLASSES:{PERMANENT};FILTER{CATEGORY: NONLAND;CONTROLLER: OPPONENT}};AS $0;TO: $0.owner.hand}}}}",CARD{SPELL{EFFECT:{}}}
substitutes_contrast,Counterspell,Arcane Denial,counterspell,CARD{SPELL{EFFECT:{COUNTER{TARGET{TARGET_CLASSES:{SPELL}};AS $0}}}},CARD{SPELL{EFFECT:{COUNTER{TARGET{TARGET_CLASSES:{SPELL}};AS $0};DRAW{PLAYER: YOU;COUNT: 1}}}}
substitutes_contrast,An Offer You Can't Refuse,Swan Song,cheap_counter,"CARD{SPELL{EFFECT:{COUNTER{TARGET{TARGET_CLASSES:{SPELL};NOT{TYPE: ""Creature""}};AS $0}}}}","CARD{SPELL{EFFECT:{COUNTER{TARGET{TARGET_CLASSES:{SPELL};TYPE:{""Enchantment"";""Instant"";""Sorcery""}};AS $0}}}}"
substitutes_contrast,Dovin's Veto,Negate,noncreature_counter,"CARD{SPELL{EFFECT:{COUNTER{TARGET{TARGET_CLASSES:{SPELL};NOT{TYPE: ""Creature""}};AS $0}}};STATIC{EFFECT:{CANT{SELF;EFFECTS:{COUNTER}}}}}","CARD{SPELL{EFFECT:{COUNTER{TARGET{TARGET_CLASSES:{SPELL};NOT{TYPE: ""Creature""}};AS $0}}}}"
substitutes_contrast,Rhystic Study,Mystic Remora,draw_tax,"CARD{TRIGGERED{WHEN_CAST{FILTER{CONTROLLER: OPPONENT}};AS $0;EFFECT:{CHOICE{PLAYER: $0.source.controller;TIMING: RESOLUTION;COUNT: 1;OPTION{COST:;MANA: ""{1}""};OPTION{EFFECT:{DRAW{PLAYER: YOU;COUNT: 1}}}}}}}","CARD{TRIGGERED{WHEN_CAST{FILTER{CONTROLLER: OPPONENT;NOT{TYPE: ""Creature""}}};AS $0;EFFECT:{CHOICE{PLAYER: $0.source.controller;TIMING: RESOLUTION;COUNT: 1;OPTION{COST:;MANA: ""{4}""};OPTION{EFFECT:{DRAW{PLAYER: YOU;COUNT: 1}}}}}};TRIGGERED{WHEN_UPKEEP_BEGIN{FILTER{YOU}};EFFECT:{ADD_COUNTER{SELF;NAME: ""age"";COUNT: 1};CHOICE{PLAYER: YOU;TIMING: RESOLUTION;COUNT: 1;OPTION{COST:;MANA: ""{1}"" * SELF.counters.age};OPTION{EFFECT:{SACRIFICE{SELF}}}}}}}"
substitutes_contrast,Phyrexian Arena,Underworld Connections,repeat_draw,CARD{TRIGGERED{WHEN_UPKEEP_BEGIN{FILTER{YOU}};EFFECT:{DRAW{PLAYER: YOU;COUNT: 1};LOSE_LIFE{PLAYER: YOU;AMOUNT: 1}}}},"CARD{) AS $0;@ENCHANT(FILTER{TYPE: ""Land""};ACTIVATED{COST{PAY_LIFE: 1};EFFECT:{DRAW{PLAYER: YOU;COUNT: 1}}}}"
substitutes_contrast,Divination,Night's Whisper,2cmc_draw,CARD{SPELL{EFFECT:{DRAW{PLAYER: YOU;COUNT: 2}}}},CARD{SPELL{EFFECT:{}}}
substitutes_contrast,Fact or Fiction,Mulldrifter,draw_spell,CARD{SPELL{EFFECT:{}}},"CARD{@EVOKE( ""{2}{U}"" );@FLYING;TRIGGERED{@WHEN_ETB{FILTER{SELF}};EFFECT:{DRAW{PLAYER: YOU;COUNT: 2}}}}"
substitutes_contrast,Demonic Tutor,Vampiric Tutor,tutor,CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library};AS $0;MOVE{$0;TO: YOU.hand}}}},CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library};AS $0;MOVE{$0;TO: YOU.library;LOCATION: TOP}}}}
substitutes_contrast,Diabolic Intent,Demonic Tutor,tutor,"CARD{ADDL_COST: SACRIFICE{FILTER{CONTROLLER: YOU;TYPE: ""Creature""};COUNT: 1};SPELL{EFFECT:{SEARCH{ZONE: YOU.library};AS $0;MOVE{$0;TO: YOU.hand}}}}",CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library};AS $0;MOVE{$0;TO: YOU.hand}}}}
substitutes_contrast,Enlightened Tutor,Mystical Tutor,narrow_tutor,"CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;FILTER{TYPE: ""Enchantment""};REVEAL: TRUE};AS $0;MOVE{$0;TO: YOU.library;LOCATION: TOP}}}}","CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;FILTER{TYPE:{""Instant"";""Sorcery""}};REVEAL: TRUE};AS $0;MOVE{$0;TO: YOU.library;LOCATION: TOP}}}}"
substitutes_contrast,Idyllic Tutor,Enlightened Tutor,enchantment_tutor,"CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;FILTER{TYPE: ""Enchantment""};REVEAL: TRUE};AS $0;MOVE{$0;TO: YOU.hand}}}}","CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;FILTER{TYPE: ""Enchantment""};REVEAL: TRUE};AS $0;MOVE{$0;TO: YOU.library;LOCATION: TOP}}}}"
substitutes_contrast,Eternal Witness,Regrowth,recursion,CARD{TRIGGERED{@WHEN_ETB{FILTER{SELF}};EFFECT:{MOVE{TARGET{TARGET_CLASSES:{CARD};ZONE: YOU.graveyard};AS $0;TO: YOU.hand;MAY: TRUE}}}},CARD{SPELL{EFFECT:{MOVE{TARGET{TARGET_CLASSES:{CARD};ZONE: YOU.graveyard};AS $0;TO: YOU.hand}}}}
substitutes_contrast,Regrowth,Noxious Revival,recursion,CARD{SPELL{EFFECT:{MOVE{TARGET{TARGET_CLASSES:{CARD};ZONE: YOU.graveyard};AS $0;TO: YOU.hand}}}},CARD{SPELL{EFFECT:{}}}
substitutes_contrast,Lightning Greaves,Swiftfoot Boots,protect_equip,"CARD{@EQUIP( ""{0}"" ) AS $0;STATIC{EFFECT:{GRANT{$0;@HASTE;@SHROUD}}}}","CARD{@EQUIP( ""{1}"" ) AS $0;STATIC{EFFECT:{GRANT{$0;@HEXPROOF;@HASTE}}}}"
substitutes_contrast,Deflecting Swat,Fierce Guardianship,free_protection,"CARD{ALT_COST{COST: ""{0}"";CONDITION: COUNT(YOU.commanders) GTE 1};SPELL{EFFECT:{ALTER{TARGET{TARGET_CLASSES:{SPELL;ABILITY}};AS $0;PROPERTIES{TARGET{}}}}}}","CARD{ALT_COST{COST: ""{0}"";CONDITION: COUNT(YOU.commanders) GTE 1};SPELL{EFFECT:{COUNTER{TARGET{TARGET_CLASSES:{SPELL};NOT{TYPE: ""Creature""}};AS $0}}}}"
substitutes_contrast,Command Tower,Exotic Orchard,fixing_land,"CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{ANY;SCOPE: ""your commander's color identity""}}}",CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{ANY_OF OPPONENT.lands.producible_colors}}}
substitutes_contrast,Exotic Orchard,Reflecting Pool,fixing_land,CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{ANY_OF OPPONENT.lands.producible_colors}}},"CARD{MANA_ABILITY{COST: TAP;ADD_MANA: ""# SPEC_GAP: unmatched Add clause: Add one mana of any type that a land you control could produce""}}"
substitutes_contrast,Bojuka Bog,Scavenger Grounds,graveyard_hate_land,"CARD{ENTERS: TAPPED;MANA_ABILITY{COST: TAP;ADD_MANA:{""{B}""}};TRIGGERED{@WHEN_ETB{FILTER{SELF}};EFFECT:{EXILE{TARGET{TARGET_CLASSES:{PLAYER}};AS $0;FILTER{SELECTION: ALL};FROM: $0.graveyard}}}}","CARD{ACTIVATED{COST{MANA: ""{2}"";TAP: SELF;SACRIFICE: CHOOSE{FROM: BATTLEFIELD;COUNT: 1 FILTER{TYPE: ""Desert"";CONTROLLER: YOU}}};EFFECT:{EXILE{FILTER{SELECTION: ALL};FROM: ALL.graveyard}}};MANA_ABILITY{COST: TAP;ADD_MANA:{""{C}""}}}"
